Player Name,Position Name,Activity Name,Period Name,Period Number,Date_obj,Start Time,End Time,Day Name,Month Name,Total Player Load,Total Distance,Tot IMA,High Speed Distance,IMA Accel High,IMA Accel Low,IMA Accel Medium,IMA CoD Left High,IMA CoD Left Low,IMA CoD Left Medium,IMA CoD Right High,IMA CoD Right Low,IMA CoD Right Medium,IMA Decel High,IMA Decel Low,IMA Decel Medium,Maximum Velocity,Meterage Per Minute,Player Load Per Minute,Velocity Band 1 Total Distance,Velocity Band 2 Total Distance,Velocity Band 3 Total Distance,Velocity Band 4 Total Distance,Velocity Band 5 Total Distance
FH1,Midfield,AM Practice 8-11-16,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,1159.45028,10070.88693,526,826.66001,28,80,22,8,114,34,2,182,26,1,26,3,6.8665,64.0191,7.37045,4220.56986,5024.06007,545,180.85001,96.27
FH7,Forward,AM Practice 8-11-17,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,1042.92966,9186.53032,322,738.58,7,27,10,12,105,17,8,92,8,3,31,2,6.9305,58.39738,6.62975,3554.96005,4892.95992,488.84,192.19,56.22
FH8,Forward,AM Practice 8-11-18,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,923.09806,8728.42473,373,433.94999,13,52,26,8,91,18,10,124,15,1,10,5,6.4865,55.48527,5.86799,3525.75998,4769.05002,308.48999,97.59,27.87
FH10,Back,AM Practice 8-11-19,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,817.52952,9758.65793,358,837.70002,14,37,10,8,114,37,4,96,7,0,29,2,7.3115,62.03431,5.19691,3621.68991,5299.33998,566.08002,190.78,71.13
FH15,Mid/Back,AM Practice 8-11-20,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,758.79994,9345.81531,414,565.82001,12,54,8,16,116,35,1,96,15,4,47,10,6.8075,59.40993,4.82358,3498.95003,5281.38022,316.51001,172.62,73.54
FH11,Mid,AM Practice 8-11-21,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,865.30943,10752.3835,641,888.89001,24,83,45,22,201,47,7,147,30,1,30,4,6.5535,68.35127,5.50064,3528.43002,6335.3699,571.19,256.32001,61.38
FH12,Midfield,AM Practice 8-11-22,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,1062.38893,9402.49887,716,581.5,13,68,17,10,406,29,2,141,10,0,17,3,6.4445,59.77026,6.75344,3054.06009,5767.16986,399.32001,170.78999,11.39
FH13,Mid/Forward,AM Practice 8-11-23,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,440.36157,4566.203,108,150.88,2,4,3,9,44,7,6,22,6,1,3,1,6.2245,29.02666,2.79931,1660.97001,2754.55994,107.57,40.05,3.26
FH14,Forward,AM Practice 8-11-24,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,808.14947,9261.83861,460,622.08,27,47,18,28,208,35,0,68,5,1,18,5,6.5195,58.8761,5.13728,2880.86005,5758.99995,364.88,240.44,16.76
FH9,Mid/Forward,AM Practice 8-11-25,Session,0,8/11/2016,7:00:29,10:01:00,Thursday,August,557.20877,5909.92123,196,500.43001,4,19,6,5,49,14,3,48,7,5,24,12,11.9705,37.56847,3.54209,2141.48007,3268.13989,216.08,96.65,21.24
